title,author,language,publish_date,isbn,asin,description,internal_details,series,settings,characters,awards,formats
Coriolanus,William Shakespeare,English,04/12/23,,, Shakespeare's political tragedy portrays a Roman general whose military brilliance is matched only by his contempt for the common people. This unflinching examination of pride and power remains startlingly relevant to modern political divisions., Shakespeare's political tragedy portrays a Roman general whose military brilliance is matched only by his contempt for the common people. This unflinching examination of pride and power remains startlingly relevant to modern political divisions.,,"Ancient Rome, 5th century BCE","Coriolanus,Volumnia",,digital
Cousin Bette,Honoré de Balzac,French,04/12/23,,, Balzac's dark masterpiece follows a bitter spinster's elaborate revenge against the family that underestimated her. This ruthless portrait of jealousy and manipulation exposes the destructive power of thwarted passion in post-Napoleonic Paris., Balzac's dark masterpiece follows a bitter spinster's elaborate revenge against the family that underestimated her. This ruthless portrait of jealousy and manipulation exposes the destructive power of thwarted passion in post-Napoleonic Paris.,,"Paris, 1838-1846","Cousin Bette,Baron Hulot",,digital
Cousin Pons,Honoré de Balzac,French,04/12/23,,, Balzac's final completed novel portrays an unworldly collector whose priceless art treasures spark deadly greed in those around him. This melancholy tale of friendship betrayed offers a damning indictment of bourgeois materialism in 19th century Paris., Balzac's final completed novel portrays an unworldly collector whose priceless art treasures spark deadly greed in those around him. This melancholy tale of friendship betrayed offers a damning indictment of bourgeois materialism in 19th century Paris.,,"Paris, 1844-1845","Sylvain Pons,Schmucke",,digital
Crime and Punishment,Fyodor Dostoevsky,Russian,04/12/23,,," Dostoevsky's psychological masterpiece follows a desperate student who commits murder to prove his superiority. This profound exploration of guilt, redemption, and moral philosophy plunges readers into the feverish mind of its unforgettable protagonist."," Dostoevsky's psychological masterpiece follows a desperate student who commits murder to prove his superiority. This profound exploration of guilt, redemption, and moral philosophy plunges readers into the feverish mind of its unforgettable protagonist.",,"St. Petersburg, Russia, 1860s","Rodion Raskolnikov,Sonya Marmeladova",,digital
Dangerous Liaisons,Pierre Choderlos de Laclos,French,04/12/23,,, Pierre Choderlos de Laclos' epistolary novel exposes the sexual gamesmanship and moral corruption of French aristocrats before the Revolution. This brilliant psychological drama of manipulation and revenge remains one of literature's most chilling portrayals of calculated cruelty., Pierre Choderlos de Laclos' epistolary novel exposes the sexual gamesmanship and moral corruption of French aristocrats before the Revolution. This brilliant psychological drama of manipulation and revenge remains one of literature's most chilling portrayals of calculated cruelty.,,"France, pre-Revolutionary aristocratic society","Marquise de Merteuil,Vicomte de Valmont",,digital
Daniel Deronda,George Eliot,English,04/12/23,,," George Eliot's final novel intertwines the stories of a spoiled beauty and a young man discovering his Jewish heritage. This ambitious exploration of identity, purpose, and moral growth challenges Victorian prejudices while offering a visionary glimpse of Jewish nationalism."," George Eliot's final novel intertwines the stories of a spoiled beauty and a young man discovering his Jewish heritage. This ambitious exploration of identity, purpose, and moral growth challenges Victorian prejudices while offering a visionary glimpse of Jewish nationalism.",,"England, 1860s-1870s","Daniel Deronda,Gwendolen Harleth",,digital
David Copperfield,Charles Dickens,English,04/12/23,,, Charles Dickens' beloved semi-autobiographical novel follows its hero from unhappy childhood to mature happiness. This quintessential coming-of-age story brims with unforgettable characters and incidents drawn from Dickens' own experiences., Charles Dickens' beloved semi-autobiographical novel follows its hero from unhappy childhood to mature happiness. This quintessential coming-of-age story brims with unforgettable characters and incidents drawn from Dickens' own experiences.,,"England, early to mid-19th century","David Copperfield,Uriah Heep",,digital
Death Comes for the Archbishop,Willa Cather,English,04/12/23,,, Willa Cather's luminous novel chronicles a French Catholic bishop's lifelong mission in the American Southwest. This meditative masterpiece captures the austere beauty of the New Mexico landscape and the spiritual dedication of those who served its diverse peoples., Willa Cather's luminous novel chronicles a French Catholic bishop's lifelong mission in the American Southwest. This meditative masterpiece captures the austere beauty of the New Mexico landscape and the spiritual dedication of those who served its diverse peoples.,,"New Mexico Territory, mid to late 19th century","Father Jean Marie Latour,Father Joseph Vaillant",,digital
Death in Venice,Thomas Mann,German,04/12/23,,, Thomas Mann's novella follows an aging writer's obsession with a beautiful Polish boy during a cholera outbreak. This haunting exploration of desire and decay creates a perfect synthesis of classical restraint and romantic yearning., Thomas Mann's novella follows an aging writer's obsession with a beautiful Polish boy during a cholera outbreak. This haunting exploration of desire and decay creates a perfect synthesis of classical restraint and romantic yearning.,,"Venice, early 20th century","Gustav von Aschenbach,Tadzio",,digital
Deloraine,William Godwin,English,04/12/23,,," William Godwin's final novel examines the psychological torment of a man who commits a terrible crime of passion. This forgotten masterpiece combines Gothic elements with penetrating moral questions about guilt, justice, and redemption."," William Godwin's final novel examines the psychological torment of a man who commits a terrible crime of passion. This forgotten masterpiece combines Gothic elements with penetrating moral questions about guilt, justice, and redemption.",,"Australia, early 19th century",Deloraine,,digital
